"nome","id","cidade","url","av","ap","pa","es","lat","long","nomeAux","endereco","localidade","cp","email","time","fone","recolhas"
"Intermarché Contact Vila Viçosa","8129","Vila Viçosa","https://www.intermarche.pt/lojas/evora/06726-vila-vicosa/","True","True","True","True","38.787109","-7.426483","Intermarché Vila Viçosa","Madre de Água","Vila Viçosa","7160-204 Vila Viçosa","intervicosa.vila@sapo.pt","Segunda a domingo: 9h00 às 21h00 - ","268889530",FALSE
"Intermarché Contact Albufeira - Cerro Grande","8854","Albufeira - Cerro Grande","https://www.intermarche.pt/lojas/faro/07593-albufeira-cerro-grande/","False","False","False","False","37.084369","-8.259294","Intermarché Albufeira - Cerro Grande","Cerro Grande","Albufeira","8200-108 Albufeira","pdv07593@mousquetaires.com","Segunda a Domingo: 8h00 às 20h00 - ","966652790",FALSE
"Intermarché Super Albufeira - Ferreiras","8563","Albufeira - Ferreiras","https://www.intermarche.pt/lojas/faro/05933-albufeira-vale-serves/","True","True","True","True","37.126714","-8.237246","Intermarché Albufeira - Ferreiras","Vale Serves","Albufeira","8200-559 Albufeira","pdv05933@mousquetaires.com","Segunda a domingo: 8h30 às 21h00 (inverno) - Segunda a domingo: 8h30 às 22h00 (verão) - ","289548165",FALSE
"Intermarché Contact Albufeira - Olhos de Água ","8846","Albufeira - Olhos de Água ","https://www.intermarche.pt/lojas/faro/06841-albufeira-olhos-de-agua/","False","False","False","True","37.092706","-8.188581","Intermarché Albufeira - Olhos de Água ",NA,NA,NA,NA,NA,NA,NA
"Intermarché Contact Albufeira - Santa Eulalia","8844","Albufeira - Santa Eulalia","https://www.intermarche.pt/lojas/faro/06859-albufeira-santa-eulalia/","False","False","False","True","37.08988","-8.221936","Intermarché Albufeira - Santa Eulalia","Estrada de Santa Eulalia - Edificio Oura Praia","Albufeira","8200-381 Albufeira","pdv06859@mousquetaires.com","Todos os dias: 8h30 às 20h00 - ","289582166",FALSE
"Intermarché Super Albufeira - Vale Pedras","69807","Albufeira - Vale Pedras","https://www.intermarche.pt/lojas/faro/07334-albufeira-vale-pedras/","False","False","False","False","37.1033","-8.2344","Intermarché Albufeira - Vale Pedras","Rua Vale de Pedras","Albufeira","8200-047 Albufeira","pdv07334@mousquetaires.com","Das 8h00 às 21h00 (Inverno) - Das 8h00 às 22h00 (Verão) - ","289 543 985",FALSE
"Intermarché Contact Albufeira Açoteias","8856","Albufeira Açoteias","https://www.intermarche.pt/lojas/faro/09981-albufeira-acoteias/","False","False","False","False","37.096942","-8.178181","Intermarché Albufeira Açoteias","Roda Pé, Açoteias","Albufeira","8200-380 Albufeira","pdv09981@mousquetaires.com","Segunda a Domingo: 8h30 às 21h00 (inverno) - Segunda a Domingo: 8h00 às 22h00 (verão) - ","289587054",FALSE
"Intermarché Super Aljezur","8564","Aljezur","https://www.intermarche.pt/lojas/faro/06725-aljezur/","False","False","False","False","37.317042","-8.798882","Intermarché Aljezur","Igreja Nova EN 120","Aljezur","8670-161 Aljezur","interaljezur@gmail.com","Verão: 8h30 às 21h00 - Inverno: 8h30 as 20h00 - ","282990060",FALSE
"Intermarché Contact Altura","8847","Altura","https://www.intermarche.pt/lojas/faro/03986-altura/","False","False","False","False","37.181032","-7.496806","Intermarché Altura","EN 125","Altura","8950-433 Castro Marim","pdv03986@mousquetaires.com","Inverno: 8h30 às 20h00 - Verão: 8h30 às 21h00 - ","281950540",FALSE
"Intermarché Contact Alvor","8855","Alvor","https://www.intermarche.pt/lojas/faro/07591-alvor/","False","False","False","True","37.128844","-8.589889","Intermarché Alvor","Areal do Poço - 4 Estradas, Alvor","Portimão","8500-057 Portimão","pdv07591@mousquetaires.com","Segunda a Domingo: 8h30 às 21h00 - ","282098413",TRUE
"Intermarché Super Alvor-Marachique","62827","Alvor-Marachique","https://www.intermarche.pt/lojas/faro/09731-alvor-marachique/","False","False","True","False","37.13084832794842","-8.575405969424436","Intermarché Alvor-Marachique","Estrada de Alvor Edifício Intermarché",NA,"8500-071 Portimão","pdv09731@mousquetaires.com","Segunda a Domingo: 8h30 às 21h00 - ","282 242 200",FALSE
"Intermarché Contact Armação de Pera","8848","Armação de Pera","https://www.intermarche.pt/lojas/faro/05921-armacao-de-pera/","False","False","False","False","37.10227","-8.362992","Intermarché Armação de Pera","Av. General Humberto Delgado","Armação de Pera","8365-138 Silves","pdv05921@mousquetaires.com","Todos os dias: 8h30 às 21h00 - ","282314587",FALSE
"Intermarché Contact Budens","8574","Budens","https://www.intermarche.pt/lojas/faro/03209-budens/","False","False","True","True","37.086294","-8.828105","Intermarché Budens","Estrada Nacional 125 – Km 8,3","Areias de Cima","8650-070","pdv03209@mousquetaires.com","Inverno: 8h30 às 20h00 - Verão: 8h30 às 21h00 - ","282695601",FALSE
"Intermarché Super Lagoa - Carvoeiro","8565","Lagoa - Carvoeiro","https://www.intermarche.pt/lojas/faro/02357-lagoa-carvoeiro/","False","False","False","True","37.115257","-8.455376","Intermarché Lagoa - Carvoeiro","Estrada do Poço partido- Carvoeiro","Lagoa","8400-557 Lagoa","pdv02357@mousquetaires.com","Segunda a Domingo: 8h00 às 21h00 - ","282380320",FALSE
"Intermarché Contact Lagoa - Rua dos Bombeiros Voluntarios","8573","Lagoa - Rua dos Bombeiros Voluntarios","https://www.intermarche.pt/lojas/faro/05736-lagoa-rua-dos-bombeiros-voluntarios/","False","False","False","False","37.132196","-8.448945","Intermarché Lagoa - Rua dos Bombeiros Voluntarios","Rua dos Bombeiros Voluntarios","Lagoa","8400-379 Lagoa","pdv05736@mousquetaires.com","Segunda a Domingo: 8h30 às 21h00 - ","282356372",FALSE
"Intermarché Super Lagos - Ameijeira Verde","8566","Lagos - Ameijeira Verde","https://www.intermarche.pt/lojas/faro/03208-lagos-ameijeira-verde/","True","False","True","True","37.10016","-8.683996","Intermarché Lagos - Ameijeira Verde","Lugar da Pedra Alçada - Ameijeira Verde","Lagos","8600-546 Lagos","pdv03208@mousquetaires.com","Inverno - 8h30 às 21h00 - Verão - 8h00 às 22h00 - ","282780760",FALSE
"Intermarché Contact Moncarapacho","57407","Moncarapacho","https://www.intermarche.pt/lojas/faro/09637-moncarapacho/","False","False","False","False","37.082966","-7.791196","Intermarché Moncarapacho","Rua São Gonçalo de Lagos,  Edifício Intermarché","Moncarapacho","8700-061 Moncarapacho","pdv09637@mousquetaires.com","Segunda a Domingo: 9h00 às 21h00 - ","289 372 520",FALSE
"Intermarché Super Monchique","8567","Monchique","https://www.intermarche.pt/lojas/faro/06858-monchique/","True","False","True","False","37.312241","-8.555431","Intermarché Monchique","Largo do Pé da Cruz, Ceiceira","Monchique","8550-328 Monchique","pdv06858@mousquetaires.com","9h00 às 20h30 (inverno) - 9h00 às 21h00 (verão) - ","282910130",FALSE
"Intermarché Contact Monte Gordo (Encerrrado temporariamente)","8850","Monte Gordo (Encerrrado temporariamente)","https://www.intermarche.pt/lojas/faro/05927-monte-gordo/","False","False","False","False","37.179407","-7.448103","Intermarché Monte Gordo (Encerrrado temporariamente)","Av. Infante Dom Henrique nº 3","Monte Gordo","8900-412 Vila Real de Santo António","pdv05927@mousquetaires.com","Inverno: 8h00 às 20h00 - Verão: 8h00 às 22h00 - ","281512090",FALSE
"Intermarché Super Olhão","8568","Olhão","https://www.intermarche.pt/lojas/faro/07365-olhao/","True","False","True","True","37.031944","-7.832778","Intermarché Olhão","Lugar do Marim lote 2 - Quelfes","Olhão","8700-221 Faro","geral@superolhao.pt","Inverno: 9h00 às 21h00 - Verão: 8h30 às 21h00 - ","289700290",FALSE
"Intermarché Contact Porches","8851","Porches","https://www.intermarche.pt/lojas/faro/05916-porches/","False","False","False","True","37.105558","-8.382568","Intermarché Porches","Estrada Armação da Pera","Porches","8400-450 Lagoa","pdv05916@mousquetaires.com","Todos os dias: 8h30 às 21h00 - ","282315194",TRUE
"Intermarché Super Portimão","8569","Portimão","https://www.intermarche.pt/lojas/faro/08274-portimao/","False","False","False","True","37.152219","-8.554805","Intermarché Portimão","Cabeço do Mocho, lote nº1","Portimão","8500-313 Portimão","pdv08274@mousquetaires.com","Inverno - todos os dias: 8h30 às 21h30 - Verão - todos os dias: 8h00 às 22h00 - ","282457126",TRUE
"Intermarché Express Portimão -  Praia da Rocha","36927","Portimão -  Praia da Rocha","https://www.intermarche.pt/lojas/faro/08937-portimao-praia-da-rocha/","False","False","False","False","37.119514","-8.540903","Intermarché Portimão -  Praia da Rocha","Avenida Tomás Cabreira, Edifício Varandas da Rocha,  Praia da Rocha",NA,"8500-802 Portimão","pdv08937@mousquetaires.com","Segunda a domingo: 9h00 às 20h00 - ","282248860",FALSE
"Intermarché Contact Quarteira","8852","Quarteira","https://www.intermarche.pt/lojas/faro/05929-quarteira/","False","False","False","False","37.068033","-8.102537","Intermarché Quarteira","Rua da Nora - Edificio miratlântico","Quarteira","8125-238 Loulé","pdv05929@mousquetaires.com","8h00 às 22h00 (verão) - 9h00 às 21h00 (inverno) - ","289316309",FALSE
"Intermarché Contact Sagres","8858","Sagres","https://www.intermarche.pt/lojas/faro/06464-sagres/","True","False","True","False","37.014784","-8.941098","Intermarché Sagres","Cercas Velhas","Sagres","8650-366 Sagres","pdv06464@mousquetaires.com","Verão: 8h30 às 21h00 - Inverno: 8h30 às 20h00 - ","282620080",FALSE
"Intermarché Super São Bartolomeu de Messines","8572","São Bartolomeu de Messines","https://www.intermarche.pt/lojas/faro/07851-sao-bartolomeu-de-messines/","True","False","True","False","37.260254","-8.292843","Intermarché São Bartolomeu de Messines","Rua João de Deus","São Bartolomeu de Messines","8375-127 Silves","pdv07851@mousquetaires.com","Todos os dias: 8h30 às 21h00 - ","282249730",FALSE
"Intermarché Super São Brás de Alportel","8570","São Brás de Alportel","https://www.intermarche.pt/lojas/faro/07564-sao-bras-de-alportel/","True","False","True","False","37.152576","-7.889052","Intermarché São Brás de Alportel","Campinha, Estrada nacional 270","São Brás de Alportel","8150-022 São Brás de Alportel","intersaobrasalportel@gmail.com","Todos os dias: 9h00 às 21h00 - ","289840170",FALSE
"Intermarché Super Vila Real de Santo António","8571","Vila Real de Santo António","https://www.intermarche.pt/lojas/faro/03985-vila-real-de-santo-antonio/","True","False","True","True","37.19995","-7.418381","Intermarché Vila Real de Santo António","Largo da Estação","Vila Real de Santo António","8900-216 Vila Real de Santo António","pdv03985@mousquetaires.com","Inverno: 8h30 às 20h00 - Verão: 8h30 às 21h00 - ","281530550",FALSE
"Intermarché Contact Vilamoura","8857","Vilamoura","https://www.intermarche.pt/lojas/faro/07603-vilamoura/","False","False","False","True","37.082583","-8.118286","Intermarché Vilamoura","Av. Engenheiro João Meireles – Edifício Atrium, bloco A R/C, Vilamoura","Loulé","8125-406 Loulé","pdv07603@mousquetaires.com","Todos os dias: 8h30 às 22h00 - ","289328580",TRUE
"Intermarché Contact Celorico da Beira","8130","Celorico da Beira","https://www.intermarche.pt/lojas/guarda/01316-celorico-da-beira/","True","False","True","False","40.643869","-7.38699","Intermarché Celorico da Beira","Rua Dom João de Oliveira Matos nº45 - 47","Celorico da Beira","6360-344 Celorico da Beira","distribeira@sapo.pt","Verão: 9h00 às 20h00 - Inverno: 9h30 às 13h00 e 15h00 às 19h30 - ","271742928",FALSE
"Intermarché Contact Figueira de Castelo Rodrigo","8131","Figueira de Castelo Rodrigo","https://www.intermarche.pt/lojas/guarda/08062-figueira-de-castelo-rodrigo/","True","False","True","False","40.884023","-6.965801","Intermarché Figueira de Castelo Rodrigo","Vale Barroso",NA,"6440-031 Figueira de Castelo Rodrigo","pdv08062@mousquetaires.com","Segunda a domingo:  9h00 às 20h00 - ","271319210",FALSE
"Intermarché Super Gouveia","8116","Gouveia","https://www.intermarche.pt/lojas/guarda/05346-gouveia/","True","False","True","False","40.498869","-7.603568","Intermarché Gouveia","Lugar dos Barreiros - São Julião","Gouveia","6290-909 Gouveia","supergouveialda@gmail.com","Segunda a domingo: 8h30 às 20h30 - ","238498090",FALSE
"Intermarché Super Guarda","8117","Guarda","https://www.intermarche.pt/lojas/guarda/01561-guarda/","True","False","True","False","40.528803","-7.251721","Intermarché Guarda","Estrada do barracão - Bairro senhora dos Remédios","Guarda","6300-309 Guarda","pdv01561@mousquetaires.com","Segunda a Domingo: 8h30 às 20h00 - ","271208370",FALSE
"Intermarché Contact Mêda","8132","Mêda","https://www.intermarche.pt/lojas/guarda/03452-meda/","True","False","True","False","40.957502","-7.261095","Intermarché Mêda","Lugar do Noval - 3 Caminhos","Mêda","6430-183 Mêda","pdv03452@mousquetaires.com","Verão: 9h00 às 13h00 e das 14h30 às 20h00 - Mês de agosto: 9h00 às 20h00 - Inverno: 9h30 às 13h00 e das 14h30 às 19h30 - ","279882200",FALSE
"Intermarché Contact Pinhel","8133","Pinhel","https://www.intermarche.pt/lojas/guarda/02058-pinhel/","True","False","True","False","40.770657","-7.069336","Intermarché Pinhel","Rua Carlos Seixas","Pinhel","6400-323 Pinhel","pdv02058@mousquetaires.com","Todos os dias: 9h00 às 19h30 - ","271 413 971",FALSE
"Intermarché Contact Sabugal","8091","Sabugal","https://www.intermarche.pt/lojas/guarda/05040-sabugal/","False","False","False","False","40.356053","-7.075788","Intermarché Sabugal","Av. 25 de Abril","Sabugal","6320-345 Penamacor","pdv05040@mousquetaires.com","Inverno: 9h00 às 19h30 - Verão: 9h00 às 20h00 - ","271752046/7",FALSE
"Intermarché Super Seia","8118","Seia","https://www.intermarche.pt/lojas/guarda/09712-seia/","False","False","False","False","40.406238","-7.708874","Intermarché Seia","Lugar do Crestelo - São Romão","Seia","6270-998 Seia","pdv09712@mousquetaires.com","Segunda a Domingo: 8h30 às 20h00 - ","238310390",FALSE
"Intermarché Contact Trancoso","8134","Trancoso","https://www.intermarche.pt/lojas/guarda/02375-trancoso/","True","True","True","False","40.957423","-7.261553","Intermarché Trancoso","Lugar de São Domingos","Trancoso","6420-008 Trancoso","pdv02375@mousquetaires.com","Inverno: 9h30 às 13h00 e 15h00 às 19h30 - Verão: 9h00 às 13h00 e das 15h00 às 20h00 - ","271812030",FALSE
"Intermarché Contact Vila Nova de Foz Côa","8135","Vila Nova de Foz Côa","https://www.intermarche.pt/lojas/guarda/04465-vila-nova-de-foz-coa/","True","False","True","False","41.071229","-7.140848","Intermarché Vila Nova de Foz Côa","Zona Industrial lote 53","Vila Nova de Foz Côa","5150-614 Vila Nova de Foz Côa","pdv04465@mousquetaires.com","Segunda a Domingo: 9h00 às 20h00 - ","279760360",FALSE
"Intermarché Contact Vilar Formoso","8136","Vilar Formoso","https://www.intermarche.pt/lojas/guarda/02713-vilar-formoso/","True","False","True","False","40.618269","-6.843627","Intermarché Vilar Formoso","Sítio da Represa","Vilar Formoso","6355-289 Almeida","sodimoso@gmail.com","Segunda a Sábado: 9h00 às 20h00 - Domingo: 9h30 às 19h30 - ","271511445",FALSE
"Intermarché Super Alcobaça","8865","Alcobaça","https://www.intermarche.pt/lojas/leiria/07581-alcobaca/","True","False","True","True","39.553011","-8.969155","Intermarché Alcobaça","Lugar da Pataeira - Palmeira","Alcobaça","2460-005 Alcobaça","pdv07581@mousquetaires.com","Segunda a Domingo: 8h30 às 20h30 - ","262580030",TRUE
"Intermarché Super Ansião","8866","Ansião","https://www.intermarche.pt/lojas/leiria/06364-ansiao/","True","False","True","False","39.911878","-8.440088","Intermarché Ansião","Av. Sá Carneiro","Ansião","3240-235 Ansião","pdv06364@mousquetaires.com","Verão: 8h30 às 21h00 - Inverno: 8h30 às 20h00 - ","911942158",FALSE
"Intermarché Contact Batalha","8859","Batalha","https://www.intermarche.pt/lojas/leiria/02374-batalha/","False","False","False","False","39.658728","-8.822407","Intermarché Batalha","Largo 14 Agosto 1385","Batalha","2440-105 Batalha","pdv02374@mousquetaires.com","Segunda a Sábado: 9h00 às 20h00 - Domingos e Feriados: 9h00 às 19h30 - ","244766420",FALSE
"Intermarché Super Benedita","8867","Benedita","https://www.intermarche.pt/lojas/leiria/07658-benedita/","True","False","True","True","39.433258","-8.979815","Intermarché Benedita","Rua Rei da Memoria - Casal do Leirião","Benedita","2475-022 Benedita","pdv07658@mousquetaires.com","Segunda a domingo: 8h30 às 20h30 - ","262925320",FALSE
"Intermarché Super Bombarral","8868","Bombarral","https://www.intermarche.pt/lojas/leiria/07397-bombarral/","True","False","True","False","39.266355","-9.164079","Intermarché Bombarral","Praça da Republica, Arroteias","Bombarral","2540-031 Bombarral","pdv07397@mousquetaires.com","Segunda a Domingo: 9h00 às 20h30 - ","262600210",FALSE
"Intermarché Super Caldas da Rainha ","28849","Caldas da Rainha ","https://www.intermarche.pt/lojas/leiria/08238-caldas-da-rainha/","False","True","False","False","39.40467","-9.1529","Intermarché Caldas da Rainha ",NA,NA,NA,NA,NA,NA,NA
"Intermarché Super Figueiró dos Vinhos","8869","Figueiró dos Vinhos","https://www.intermarche.pt/lojas/leiria/06286-figueiro-dos-vinhos/","True","False","True","False","39.906229","-8.280577","Intermarché Figueiró dos Vinhos","Senhora dos Remédios lote 1","Figueiró dos Vinhos","3260-349 Alvaiázere","pdv06286@mousquetaires.com","Segunda a Domingo: 9h00 às 20h00 - ","236559400",FALSE
"Intermarché Contact Juncal","8860","Juncal","https://www.intermarche.pt/lojas/leiria/07611-juncal/","True","True","True","False","39.582754","-8.900542","Intermarché Juncal","Estrada nacional nº 8 - Cumeira","Juncal","2480-078 Porto de Mós","pdv07611@mousquetaires.com","Inverno: 9h00 às 20h00 - Julho e Agosto: 9h00 às 20h30 - Cafetaria: 8h00 às 20h00 - ","262505590",FALSE
"Intermarché Super Leiria - Gândara dos Olivais","8873","Leiria - Gândara dos Olivais","https://www.intermarche.pt/lojas/leiria/05038-leiria-gandara-dos-olivais/","True","False","True","False","39.765432","-8.817486","Intermarché Leiria - Gândara dos Olivais","Rua da Baquelite Carregal - Gândara dos Olivais","Leiria","2415-615 Leiria","distrigandara@gmail.com","Segunda a sexta: 9h00 às 21h00 - Sábado e Domingo: 9h00 às 19h00 - ","244829570",FALSE
"Intermarché Super Leiria - Maceira ","8870","Leiria - Maceira ","https://www.intermarche.pt/lojas/leiria/03519-leiria-maceira/","True","False","True","True","39.685015","-8.895406","Intermarché Leiria - Maceira ",NA,NA,NA,NA,NA,NA,NA
"Intermarché Super Leiria - Rua das Olhalvas","8863","Leiria - Rua das Olhalvas","https://www.intermarche.pt/lojas/leiria/02057-leiria-rua-das-olhalvas/","False","False","False","False","39.74113","-8.7967","Intermarché Leiria - Rua das Olhalvas","Rua das Olhalvas","Leiria","2410-196 Leiria","fipoleiria@gmail.com","Segunda a sexta: 9h00 às 21h00 - Sábado e Domingo: 9h00 às 19h00 - ","244802450",FALSE
"Intermarché Super Marinha da Guia","8871","Marinha da Guia","https://www.intermarche.pt/lojas/leiria/09064-marinha-da-guia/","True","True","True","True","39.968964","-8.793005","Intermarché Marinha da Guia","Rua Serrada da Estrada nº 24","Marinha da Guia","3105-063 Pombal","sodiguia@gmail.com","Todos os dias: 9h00 às 21h00 - ","236959040",TRUE
"Intermarché Super Marinha Grande","8872","Marinha Grande","https://www.intermarche.pt/lojas/leiria/01006-marinha-grande/","True","False","True","True","39.756275","-8.932903","Intermarché Marinha Grande","Av. José Gregorio","Marinha Grande","2430-275 Marinha Grande","distrigrande@gmail.com","Segunda a Domingo: 7h30 às 21h00 - ","244551100",FALSE
"Intermarché Super Óbidos","8874","Óbidos","https://www.intermarche.pt/lojas/leiria/03291-obidos/","True","False","True","False","39.389393","-9.129639","Intermarché Óbidos","Casal do Pedrógão - Gaeiras","Óbidos","2510-739 Óbidos","pdv03291@mousquetaires.com","9h00 às 20h30 (inverno) - 8h30 às 21h00 (verão) - ","262840240",FALSE
"Intermarché Super Pataias","8875","Pataias","https://www.intermarche.pt/lojas/leiria/06271-pataias/","True","True","True","False","39.659746","-9.015063","Intermarché Pataias","Lugar de Alva - Estrada Nacional 242","Pataias","2445-012 Alcobaça","superpataias.lda@gmail.com","Segunda a Domingo: 9h00 às 20h00 - ","244587350",FALSE
"Intermarché Super Peniche","8864","Peniche","https://www.intermarche.pt/lojas/leiria/76131-peniche/","True","True","True","True","39.363935","-9.374476","Intermarché Peniche","Avenida Monsenhor Bastos","Peniche","2520-206 Peniche","pdv76131@mousquetaires.com","Inverno: 8h30 às 20h00 - Verão: 8h30 às 21h00 - ","262783886",FALSE
"Intermarché Super Pombal","8876","Pombal","https://www.intermarche.pt/lojas/leiria/01615-pombal/","True","False","True","True","39.9204","-8.629953","Intermarché Pombal","Rua Marechal António Spínola, Várzea","Pombal","3100-389 Pombal","distripombal@gmail.com","Segunda a domingo: 8h00 às 21h00 - ","236200840",FALSE
"Intermarché Super Porto de Mós","8877","Porto de Mós","https://www.intermarche.pt/lojas/leiria/06375-porto-de-mos/","True","False","True","True","39.599021","-8.824287","Intermarché Porto de Mós","Avenida S.Pedro nº5","Porto de Mós","2480-303 Porto de Mós","pdv06375@mousquetaires.com","Segunda a Domingo: 8h30 às 21h00 - ","244491328",TRUE
"Intermarché Contact S. Martinho do Porto","8861","S. Martinho do Porto","https://www.intermarche.pt/lojas/leiria/06379-s-martinho-do-porto/","True","False","True","False","39.515376","-9.126009","Intermarché S. Martinho do Porto","Lugar de Relvinhas","S. Martinho do Porto","2460-468 Alcobaça","pdv06379@mousquetaires.com","Inverno: 9h00 às 20h00 - Verão: 9h00 às 20h30 - ","262985010",FALSE
"Intermarché Contact Vieira de Leiria","8862","Vieira de Leiria","https://www.intermarche.pt/lojas/leiria/04683-vieira-de-leiria/","True","False","True","True","39.868728","-8.917063","Intermarché Vieira de Leiria","Rua de Leiria nº 50/52 - Barqueiro","Vieira de Leiria","2430-773 Marinha Grande","pdv04683@mousquetaires.com","Todos os dias: 9h00 às 21h00 - ","244698130",FALSE
"Intermarché Super Abrigada","8898","Abrigada","https://www.intermarche.pt/lojas/lisboa/03012-abrigada/","True","True","True","False","39.144412","-9.022703","Intermarché Abrigada","Lugar da Funileira","Abrigada","2580-097 Alenquer","pdv03012@mousquetaires.com","Segunda a Domingo: 9h00 às 20h30 - ","263798080",FALSE
"Intermarché Super A-dos-Cunhados","8894","A-dos-Cunhados","https://www.intermarche.pt/lojas/lisboa/06347-a-dos-cunhados/","True","False","True","False","39.152922","-9.305484","Intermarché A-dos-Cunhados","Vale da Murta","A-dos-Cunhados","2560-562 Torres Vedras","intersobreiro@sapo.pt","Segunda a Domingo: 8h30 às 21h00 - ","261980190",FALSE
"Intermarché Super Arruda dos Vinhos","8899","Arruda dos Vinhos","https://www.intermarche.pt/lojas/lisboa/07615-arruda-dos-vinhos/","True","True","True","True","38.998118","-9.084765","Intermarché Arruda dos Vinhos","Casal da Cruz-reta da Fresca","Arruda dos Vinhos","2630-358 Arruda dos Vinhos","sodijuncal@hotmail.com","Segunda a domingo: 8h30 – 21h00 - ","263979100",FALSE
"Intermarché Contact Aveiras de Cima","8878","Aveiras de Cima","https://www.intermarche.pt/lojas/lisboa/05773-aveiras-de-cima/","True","False","True","False","39.143991","-8.901371","Intermarché Aveiras de Cima","Chães lote 1","Aveiras de Cima","2050-098 Azambuja","pdv05773@mousquetaires.com","Segunda a Domingo: 9h00 às 20h30 - ","263470200",FALSE
"Intermarché Super Azambuja","8884","Azambuja","https://www.intermarche.pt/lojas/lisboa/03420-azambuja/","True","False","True","False","39.07331","-8.863282","Intermarché Azambuja","Rua da EPAC nº 1","Azambuja","2050-260 Azambuja","pdv03420@mousquetaires.com","Segunda a domingo: 9h00 às 21h00 - ","263409360",FALSE
"Intermarché Contact Belas/Massamá","8880","Belas/Massamá","https://www.intermarche.pt/lojas/lisboa/08255-belas-massama/","True","False","True","True","38.7685103","-9.2807235","Intermarché Belas/Massamá","Av. Salgueiro Maia, Lt 189","Belas/Massamá","2605-229 Sintra","pdv08255@mousquetaires.com","Todos os dias: 8h30 – 21h00 - ","210523320",TRUE
"Intermarché Super Cacém","8885","Cacém","https://www.intermarche.pt/lojas/lisboa/07421-cacem/","False","False","False","True","38.768196","-9.313998","Intermarché Cacém","Rua Elias Garcia nº 201 B-C","Cacém","2735-682 Sintra","pdv07421@mousquetaires.com","Segunda a domingo: 9h00 às 21h00 - ","219188580",TRUE
"Intermarché Contact Cadaval","8879","Cadaval","https://www.intermarche.pt/lojas/lisboa/08186-cadaval/","True","False","True","False","39.237634","-9.099014","Intermarché Cadaval","Urbanização do Martinho","Cadaval","2550-170 Cadaval","pdv08186@mousquetaires.com","Segunda a domingo: 9h00 às 20h00 - ","262691497",FALSE
"Intermarché Super Carregado","8900","Carregado","https://www.intermarche.pt/lojas/lisboa/06729-carregado/","True","True","True","True","39.02896","-8.981624","Intermarché Carregado","Quinta da Colónia Lote 2","Carregado","2580-491 Alenquer","pdv06729@mousquetaires.com","Segunda a domingo: 8h30 às 21h00 - ","263854101",FALSE
"Intermarché Super Ericeira","8893","Ericeira","https://www.intermarche.pt/lojas/lisboa/07960-ericeira/","True","True","True","False","38.9498296","-9.4049814","Intermarché Ericeira","Estrada Nacional 116 KM1, Edifício Intermarché","Ericeira","2655-139 Mafra","pdv07960@mousquetaires.com","Segunda a Domingo: 8h00 às 22h00 - ","261249830",FALSE
"Intermarché Super Famões","8886","Famões","https://www.intermarche.pt/lojas/lisboa/07348-famoes/","False","False","True","True","38.792037","-9.216298","Intermarché Famões","Urbº Quinta do Segolim lote EA-01","Famões","1675-822 Odivelas","pdv07348@mousquetaires.com","Segunda a domingo: 8h30 – 21h00 - ","219349580",FALSE
"Intermarché Super Lourinhã","8895","Lourinhã","https://www.intermarche.pt/lojas/lisboa/76127-lourinha/","True","True","True","True","39.251081","-9.313508","Intermarché Lourinhã","Rua Ildo Hermogenes da Silva Marques nº 1","Lourinhã","2530-320 Lourinhã","pdv76127@mousquetaires.com","Inverno: Segunda a Sábado: 9h00 às 20h30 Domingo: 9h00 às 20h00 - Verão: 8h30 às 21h00 - ","261414314",FALSE
"Intermarché Super Mafra","8896","Mafra","https://www.intermarche.pt/lojas/lisboa/76114-mafra/","True","True","True","False","38.99824","-9.32911","Intermarché Mafra","Rua Almirante Gago Coutinho, nº 7","Mafra","2640-487 Mafra","contabilidade.itmmafra@gmail.com","Todos os dias: 8h30 – 22h00 - ","261816130",FALSE
"Intermarché Super Malveira","8889","Malveira","https://www.intermarche.pt/lojas/lisboa/05907-malveira/","True","False","True","False","38.94056","-9.25194","Intermarché Malveira","Rua da Lagoa, nº 27","Malveira","2665-279 Mafra","contabilidade.itmmalveira@gmail.com","Todos os dias: 8h00 – 21h30 - ","219666980",FALSE
"Intermarché Contact Merceana","8881","Merceana","https://www.intermarche.pt/lojas/lisboa/07626-merceana/","True","False","True","False","39.09752","-9.119411","Intermarché Merceana","Sítio do Moinho da Cruz, Aldeia Galega da Merceana","Merceana","2580-087 Alenquer","pdv07626@mousquetaires.com","Segunda a Domingo: 9h00 às 20h00 - ","263769961",FALSE
"Intermarché Contact Quinta da piedade","49575","Quinta da piedade","https://www.intermarche.pt/lojas/lisboa/09459-quinta-da-piedade/","False","False","False","False","38.864463","-9.072782","Intermarché Quinta da piedade","Avenida D. Vicente Afonso Valente, Lote A","Póvoa de Santa Iria","2625-005 Quinta da Piedade","pdv09459@mousquetaires.com","Segunda a Sexta: 8h30 – 21h00 - Sábado e Domingo: 8h30 – 19h00 - ","210544790",FALSE
"Intermarché Super S. Domingos de Rana","8887","S. Domingos de Rana","https://www.intermarche.pt/lojas/lisboa/05047-s-domingos-de-rana/","False","False","False","True","38.70997","-9.335779","Intermarché S. Domingos de Rana","Quinta da Torre de Aguilha","S. Domingos de Rana","2785-599 Cascais","pdv05047@mousquetaires.com","Todos os dias: das 08h30 às 21h00 - ","214489450",FALSE
